date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,apparent_temperature,location,fetch_timestamp_utc
2025-03-09 00:00:00+00:00,8.5045,14.0,14.04,0.0,0.0,0.0,5.447571,Eelde,2025-03-16 22:59:59.983353
2025-03-09 01:00:00+00:00,8.554501,0.0,14.04,0.0,0.0,0.0,5.779524,Eelde,2025-03-16 22:59:59.983353
2025-03-09 02:00:00+00:00,7.0545,0.0,13.679999,0.0,0.0,0.0,3.7452736,Eelde,2025-03-16 22:59:59.983353
2025-03-09 03:00:00+00:00,6.8545003,32.0,13.679999,0.0,0.0,0.0,3.539754,Eelde,2025-03-16 22:59:59.983353
2025-03-09 04:00:00+00:00,6.9045,0.0,13.32,0.0,0.0,0.0,3.8598776,Eelde,2025-03-16 22:59:59.983353
2025-03-09 05:00:00+00:00,5.4045,3.0,14.04,0.0,0.0,0.0,1.7892737,Eelde,2025-03-16 22:59:59.983353
2025-03-09 06:00:00+00:00,5.2045,28.0,14.04,0.0,0.0,0.0,1.5829978,Eelde,2025-03-16 22:59:59.983353
2025-03-09 07:00:00+00:00,5.8545003,80.0,14.04,27.38624,83.82707,36.0,2.4208112,Eelde,2025-03-16 22:59:59.983353
2025-03-09 08:00:00+00:00,6.4545,92.0,13.679999,86.4821,345.47363,157.0,2.8590374,Eelde,2025-03-16 22:59:59.983353
2025-03-09 09:00:00+00:00,8.8545,8.0,12.24,121.33687,502.97903,289.0,5.7821674,Eelde,2025-03-16 22:59:59.983353
2025-03-09 10:00:00+00:00,11.6045,65.0,12.959999,136.97235,635.8141,414.0,9.261787,Eelde,2025-03-16 22:59:59.983353
2025-03-09 11:00:00+00:00,13.7545,8.0,12.959999,145.3483,679.52655,488.0,11.220882,Eelde,2025-03-16 22:59:59.983353
2025-03-09 12:00:00+00:00,15.3545,24.0,11.879999,146.84464,718.9655,531.0,12.94644,Eelde,2025-03-16 22:59:59.983353
2025-03-09 13:00:00+00:00,16.5045,51.0,12.599999,146.36424,705.58905,516.0,14.459215,Eelde,2025-03-16 22:59:59.983353
2025-03-09 14:00:00+00:00,16.7045,4.0,11.159999,142.00607,656.61707,453.0,14.39262,Eelde,2025-03-16 22:59:59.983353
2025-03-09 15:00:00+00:00,16.6045,0.0,11.5199995,130.47594,582.6863,356.0,13.955116,Eelde,2025-03-16 22:59:59.983353
2025-03-09 16:00:00+00:00,16.5045,0.0,13.32,106.499626,453.67117,229.0,14.354216,Eelde,2025-03-16 22:59:59.983353
2025-03-09 17:00:00+00:00,15.1045,7.0,12.959999,59.002113,237.54779,92.0,12.899393,Eelde,2025-03-16 22:59:59.983353
2025-03-09 18:00:00+00:00,12.6545,0.0,9.72,5.1069975,0.0,5.0,10.852356,Eelde,2025-03-16 22:59:59.983353
2025-03-09 19:00:00+00:00,11.2045,0.0,12.24,0.0,0.0,0.0,9.283662,Eelde,2025-03-16 22:59:59.983353
2025-03-09 20:00:00+00:00,9.7545,0.0,11.879999,0.0,0.0,0.0,7.3393,Eelde,2025-03-16 22:59:59.983353
2025-03-09 21:00:00+00:00,8.554501,1.0,11.159999,0.0,0.0,0.0,5.928561,Eelde,2025-03-16 22:59:59.983353
2025-03-09 22:00:00+00:00,8.054501,0.0,10.440001,0.0,0.0,0.0,5.5748024,Eelde,2025-03-16 22:59:59.983353
2025-03-09 23:00:00+00:00,7.0045004,0.0,9.0,0.0,0.0,0.0,4.4722204,Eelde,2025-03-16 22:59:59.983353
2025-03-10 00:00:00+00:00,6.3045,0.0,6.8399997,0.0,0.0,0.0,3.978035,Eelde,2025-03-16 22:59:59.983353
2025-03-10 01:00:00+00:00,6.2545004,0.0,7.2,0.0,0.0,0.0,3.9647188,Eelde,2025-03-16 22:59:59.983353
2025-03-10 02:00:00+00:00,5.4045,0.0,10.08,0.0,0.0,0.0,2.429153,Eelde,2025-03-16 22:59:59.983353
2025-03-10 03:00:00+00:00,5.0545,0.0,11.5199995,0.0,0.0,0.0,1.8335762,Eelde,2025-03-16 22:59:59.983353
2025-03-10 04:00:00+00:00,5.0045004,0.0,10.440001,0.0,0.0,0.0,1.9316559,Eelde,2025-03-16 22:59:59.983353
2025-03-10 05:00:00+00:00,4.2045,0.0,9.36,0.0,0.0,0.0,1.1996603,Eelde,2025-03-16 22:59:59.983353
2025-03-10 06:00:00+00:00,4.0545,0.0,9.72,0.0,0.0,0.0,0.99820375,Eelde,2025-03-16 22:59:59.983353
2025-03-10 07:00:00+00:00,2.6545,100.0,9.72,29.488594,99.31441,40.0,-0.5705695,Eelde,2025-03-16 22:59:59.983353
2025-03-10 08:00:00+00:00,6.3045,0.0,8.28,66.612526,54.16622,78.0,3.7016473,Eelde,2025-03-16 22:59:59.983353
2025-03-10 09:00:00+00:00,8.4045,30.0,9.36,122.15558,535.74194,304.0,5.8549194,Eelde,2025-03-16 22:59:59.983353
2025-03-10 10:00:00+00:00,6.7545004,100.0,9.0,137.37125,648.8979,424.0,4.3418655,Eelde,2025-03-16 22:59:59.983353
2025-03-10 11:00:00+00:00,12.4045,1.0,9.72,184.07077,246.84935,310.0,9.839054,Eelde,2025-03-16 22:59:59.983353
2025-03-10 12:00:00+00:00,13.054501,0.0,9.72,147.3225,723.39185,538.0,10.519468,Eelde,2025-03-16 22:59:59.983353
2025-03-10 13:00:00+00:00,9.6545,0.0,11.5199995,145.93837,721.62964,528.0,6.851078,Eelde,2025-03-16 22:59:59.983353
2025-03-10 14:00:00+00:00,12.4545,0.0,15.84,141.7398,674.8335,465.0,8.856154,Eelde,2025-03-16 22:59:59.983353
2025-03-10 15:00:00+00:00,11.7045,0.0,11.879999,130.96283,599.19867,366.0,8.588831,Eelde,2025-03-16 22:59:59.983353
2025-03-10 16:00:00+00:00,7.6045003,38.0,13.32,107.83829,465.9354,236.0,4.351409,Eelde,2025-03-16 22:59:59.983353
2025-03-10 17:00:00+00:00,8.304501,0.0,13.32,55.192028,125.89982,73.0,5.0805883,Eelde,2025-03-16 22:59:59.983353
2025-03-10 18:00:00+00:00,6.6545,69.0,14.4,6.065918,0.0,6.0,3.2967792,Eelde,2025-03-16 22:59:59.983353
2025-03-10 19:00:00+00:00,5.8545003,100.0,14.759999,0.0,0.0,0.0,2.412344,Eelde,2025-03-16 22:59:59.983353
2025-03-10 20:00:00+00:00,5.4045,100.0,12.959999,0.0,0.0,0.0,2.2586665,Eelde,2025-03-16 22:59:59.983353
2025-03-10 21:00:00+00:00,5.1045003,100.0,12.599999,0.0,0.0,0.0,1.9493442,Eelde,2025-03-16 22:59:59.983353
2025-03-10 22:00:00+00:00,5.7545004,100.0,12.599999,0.0,0.0,0.0,2.6388755,Eelde,2025-03-16 22:59:59.983353
2025-03-10 23:00:00+00:00,5.5545,100.0,10.08,0.0,0.0,0.0,2.8600059,Eelde,2025-03-16 22:59:59.983353
2025-03-11 00:00:00+00:00,5.2545004,100.0,11.159999,0.0,0.0,0.0,2.3709803,Eelde,2025-03-16 22:59:59.983353
2025-03-11 01:00:00+00:00,5.9045,100.0,11.5199995,0.0,0.0,0.0,3.1065483,Eelde,2025-03-16 22:59:59.983353
2025-03-11 02:00:00+00:00,5.6545,100.0,14.04,0.0,0.0,0.0,2.3718247,Eelde,2025-03-16 22:59:59.983353
2025-03-11 03:00:00+00:00,5.3045,100.0,12.599999,0.0,0.0,0.0,2.1594596,Eelde,2025-03-16 22:59:59.983353
2025-03-11 04:00:00+00:00,6.2545004,100.0,13.679999,0.0,0.0,0.0,3.2843533,Eelde,2025-03-16 22:59:59.983353
2025-03-11 05:00:00+00:00,6.2045,100.0,14.04,0.0,0.0,0.0,2.939818,Eelde,2025-03-16 22:59:59.983353
2025-03-11 06:00:00+00:00,6.0045004,100.0,13.679999,0.0,0.0,0.0,2.6206627,Eelde,2025-03-16 22:59:59.983353
2025-03-11 07:00:00+00:00,6.0045004,100.0,11.159999,12.303878,0.0,12.0,3.2157555,Eelde,2025-03-16 22:59:59.983353
2025-03-11 08:00:00+00:00,6.4045,100.0,10.799999,18.01662,0.0,18.0,3.4204674,Eelde,2025-03-16 22:59:59.983353
2025-03-11 09:00:00+00:00,6.4045,90.0,12.599999,100.58999,53.27752,119.0,2.7903123,Eelde,2025-03-16 22:59:59.983353
2025-03-11 10:00:00+00:00,6.4045,100.0,10.440001,158.0325,158.49593,229.0,3.3392744,Eelde,2025-03-16 22:59:59.983353
2025-03-11 11:00:00+00:00,6.8545003,97.0,10.440001,176.03471,120.07368,238.0,3.4262028,Eelde,2025-03-16 22:59:59.983353
2025-03-11 12:00:00+00:00,8.1045,100.0,11.879999,175.06364,498.21588,447.0,4.337188,Eelde,2025-03-16 22:59:59.983353
2025-03-11 13:00:00+00:00,8.3545,100.0,14.4,166.4537,543.05597,457.0,4.181221,Eelde,2025-03-16 22:59:59.983353
2025-03-11 14:00:00+00:00,8.4545,100.0,12.959999,159.9801,478.97186,392.0,4.390682,Eelde,2025-03-16 22:59:59.983353
2025-03-11 15:00:00+00:00,8.054501,83.0,15.119999,140.83617,415.54904,306.0,3.9194298,Eelde,2025-03-16 22:59:59.983353
2025-03-11 16:00:00+00:00,7.4545,99.0,15.4800005,109.29133,373.82117,214.0,3.3535953,Eelde,2025-03-16 22:59:59.983353
2025-03-11 17:00:00+00:00,6.8045,3.0,13.679999,48.742912,57.349194,57.0,2.89567,Eelde,2025-03-16 22:59:59.983353
